time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/16:23:04.088527,$GPGGA,42.34064333333334,-71.09786333333334,9.1,327185.9998105597,4689730.001558623,19,T
2022/02/08/16:23:05.086822,$GPGGA,42.340646666666665,-71.09786000000001,9.1,327186.2835417209,4689730.364925269,19,T
2022/02/08/16:23:06.091485,$GPGGA,42.340650000000004,-71.097855,9.1,327186.7045722848,4689730.724904434,19,T
2022/02/08/16:23:07.089076,$GPGGA,42.34065333333333,-71.09785166666667,9.2,327186.9883033817,4689731.088271106,19,T
2022/02/08/16:23:08.099461,$GPGGA,42.34065666666667,-71.09784833333333,9.2,327187.2720344501,4689731.4516377915,19,T
2022/02/08/16:23:09.081568,$GPGGA,42.34065999999999,-71.09784333333333,9.2,327187.6930648993,4689731.811617009,19,T
2022/02/08/16:23:10.088674,$GPGGA,42.34066166666666,-71.09783999999999,9.2,327187.97222981375,4689731.9899128955,19,T
2022/02/08/16:23:11.104963,$GPGGA,42.34066500000001,-71.09783666666667,9.2,327188.25596079417,4689732.353279619,19,T
2022/02/08/16:23:12.086963,$GPGGA,42.34066833333333,-71.09783333333333,9.1,327188.5396917481,4689732.716646352,19,T
2022/02/08/16:23:13.103502,$GPGGA,42.34067166666667,-71.09783,9.1,327188.8234226736,4689733.080013094,19,T
2022/02/08/16:23:14.098614,$GPGGA,42.340675,-71.097825,9.0,327189.24445294705,4689733.439992404,19,T
2022/02/08/16:23:15.082043,$GPGGA,42.34067833333334,-71.09782166666668,9.0,327189.5281838061,4689733.803359175,19,T
2022/02/08/16:23:16.087683,$GPGGA,42.34068166666666,-71.09781666666666,9.1,327189.94921400276,4689734.163338522,19,T
2022/02/08/16:23:17.087069,$GPGGA,42.340685,-71.09781333333333,9.1,327190.2329447996,4689734.526705321,19,T
2022/02/08/16:23:18.089908,$GPGGA,42.34068666666667,-71.09781,9.0,327190.5121095373,4689734.705001303,19,T
2022/02/08/16:23:19.088600,$GPGGA,42.340689999999995,-71.09780666666667,9.0,327190.795840284,4689735.068368121,19,T
2022/02/08/16:23:20.080145,$GPGGA,42.340691666666665,-71.09780333333333,9.0,327191.07500498777,4689735.2466641255,19,T
2022/02/08/16:23:21.087979,$GPGGA,42.340695000000004,-71.09780166666665,9.1,327191.2214363517,4689735.613418373,19,T
2022/02/08/16:23:22.086934,$GPGGA,42.34069833333333,-71.09779666666667,9.0,327191.64246635255,4689735.9733978165,19,T
2022/02/08/16:23:23.088008,$GPGGA,42.34070166666667,-71.09779333333333,9.0,327191.9261969902,4689736.33676468,19,T
2022/02/08/16:23:24.107085,$GPGGA,42.34070499999999,-71.09779,8.9,327192.2099276013,4689736.700131553,19,T
2022/02/08/16:23:25.081208,$GPGGA,42.34070833333333,-71.097785,8.9,327192.63095748954,4689737.060111056,19,T
2022/02/08/16:23:26.088452,$GPGGA,42.34071166666666,-71.09778166666666,8.8,327192.9146880342,4689737.423477956,19,T
2022/02/08/16:23:27.107011,$GPGGA,42.340715,-71.09777833333332,8.8,327193.1984185546,4689737.786844869,19,T
2022/02/08/16:23:28.087090,$GPGGA,42.34071833333334,-71.097775,8.8,327193.4821490423,4689738.1502117915,19,T
2022/02/08/16:23:29.087071,$GPGGA,42.34072166666667,-71.09777166666666,8.9,327193.76587950345,4689738.513578724,19,T
2022/02/08/16:23:30.089549,$GPGGA,42.340725000000006,-71.09777000000001,8.9,327193.912310667,4689738.880333023,19,T
2022/02/08/16:23:31.097681,$GPGGA,42.34072833333333,-71.09776666666667,8.9,327194.1960410763,4689739.243699971,19,T
2022/02/08/16:23:32.098579,$GPGGA,42.34073166666667,-71.097765,9.0,327194.34247220674,4689739.61045428,19,T
2022/02/08/16:23:33.087768,$GPGGA,42.340734999999995,-71.09776166666667,9.0,327194.6262025685,4689739.973821244,19,T
2022/02/08/16:23:34.106728,$GPGGA,42.340738333333334,-71.09775833333333,8.9,327194.90993290173,4689740.3371882215,19,T
2022/02/08/16:23:35.106687,$GPGGA,42.34074166666666,-71.097755,8.9,327195.1936632043,4689740.700555208,19,T
2022/02/08/16:23:36.106341,$GPGGA,42.340745,-71.09775166666667,8.9,327195.4773934826,4689741.063922206,19,T
2022/02/08/16:23:37.086771,$GPGGA,42.34074833333334,-71.09774666666667,8.8,327195.8984229464,4689741.423901895,19,T
2022/02/08/16:23:38.088655,$GPGGA,42.34075166666666,-71.09774333333333,8.8,327196.18215315824,4689741.787268919,19,T
2022/02/08/16:23:39.097509,$GPGGA,42.34075333333333,-71.09774,8.7,327196.4613174597,4689741.965565126,19,T
2022/02/08/16:23:40.087785,$GPGGA,42.34075666666666,-71.09773666666666,8.7,327196.74504761945,4689742.328932173,19,T
2022/02/08/16:23:41.105626,$GPGGA,42.34075833333333,-71.09773333333332,8.6,327197.02421188704,4689742.5072284015,19,T
2022/02/08/16:23:42.106949,$GPGGA,42.34076166666667,-71.09773,8.6,327197.30794199667,4689742.870595471,19,T
2022/02/08/16:23:43.088793,$GPGGA,42.340765,-71.09772666666666,8.7,327197.59167207987,4689743.233962549,19,T
2022/02/08/16:23:44.090840,$GPGGA,42.34076833333334,-71.09772333333333,8.7,327197.87540213455,4689743.597329639,19,T
2022/02/08/16:23:45.084307,$GPGGA,42.34077166666666,-71.09772,8.7,327198.1591321586,4689743.960696737,19,T
2022/02/08/16:23:46.086140,$GPGGA,42.34077333333333,-71.09771666666667,8.6,327198.4382963234,4689744.13899302,19,T
2022/02/08/16:23:47.085707,$GPGGA,42.34077666666667,-71.09771333333333,8.6,327198.72202629957,4689744.502360144,19,T
2022/02/08/16:23:48.088454,$GPGGA,42.340779999999995,-71.09771,8.6,327199.005756245,4689744.865727277,19,T
2022/02/08/16:23:49.093308,$GPGGA,42.340781666666665,-71.09770666666667,8.5,327199.2849203545,4689745.04402359,19,T
2022/02/08/16:23:50.087712,$GPGGA,42.340785000000004,-71.09770333333333,8.5,327199.56865024986,4689745.407390745,19,T
2022/02/08/16:23:51.088189,$GPGGA,42.34078666666666,-71.0977,8.5,327199.8478143212,4689745.585687081,19,T
2022/02/08/16:23:52.087183,$GPGGA,42.34078833333333,-71.09769666666666,8.5,327200.12697837816,4689745.763983428,19,T
2022/02/08/16:23:53.087199,$GPGGA,42.34079166666667,-71.09769333333334,8.4,327200.41070820193,4689746.127350614,19,T
2022/02/08/16:23:54.094748,$GPGGA,42.34079333333334,-71.09769,8.4,327200.68987222505,4689746.305646983,19,T
2022/02/08/16:23:55.088545,$GPGGA,42.34079666666666,-71.09768833333332,8.3,327200.83630289044,4689746.672401415,19,T
2022/02/08/16:23:56.081159,$GPGGA,42.34080000000001,-71.097685,8.4,327201.120032643,4689747.035768631,19,T
2022/02/08/16:23:57.081254,$GPGGA,42.340803333333334,-71.09768333333334,8.4,327201.2664632712,4689747.402523069,19,T
2022/02/08/16:23:58.088350,$GPGGA,42.340805,-71.09768000000001,8.3,327201.5456272204,4689747.58081947,19,T
2022/02/08/16:23:59.105861,$GPGGA,42.34080833333334,-71.09767666666667,8.3,327201.8293569016,4689747.944186712,19,T
2022/02/08/16:24:00.087696,$GPGGA,42.34081166666667,-71.09767333333333,8.1,327202.1130865584,4689748.307553963,19,T
2022/02/08/16:24:01.087111,$GPGGA,42.340815000000006,-71.09767000000001,8.1,327202.39681618265,4689748.670921226,19,T
2022/02/08/16:24:02.104379,$GPGGA,42.34081666666666,-71.09766666666665,8.0,327202.6759800548,4689748.849217668,19,T
2022/02/08/16:24:03.081612,$GPGGA,42.34081833333333,-71.09766333333333,8.0,327202.95514390833,4689749.027514122,19,T
2022/02/08/16:24:04.103371,$GPGGA,42.34082,-71.09765999999999,8.0,327203.2343077517,4689749.205810589,19,T
2022/02/08/16:24:05.103964,$GPGGA,42.34082166666667,-71.09765666666667,8.0,327203.5134715764,4689749.384107064,19,T
2022/02/08/16:24:06.082041,$GPGGA,42.340824999999995,-71.097655,8.1,327203.65990203747,4689749.750861552,19,T
2022/02/08/16:24:07.094618,$GPGGA,42.340824999999995,-71.09765166666666,8.1,327203.9345001362,4689749.744087214,19,T
2022/02/08/16:24:08.082485,$GPGGA,42.340826666666665,-71.09764833333334,8.1,327204.2136639213,4689749.922383716,19,T
2022/02/08/16:24:09.088488,$GPGGA,42.340830000000004,-71.097645,8.1,327204.4973933776,4689750.28575106,19,T
2022/02/08/16:24:10.089468,$GPGGA,42.34083166666666,-71.09764166666668,8.1,327204.7765571266,4689750.464047583,19,T
2022/02/08/16:24:11.084564,$GPGGA,42.34083333333333,-71.09763666666666,8.1,327205.19301989547,4689750.638956974,19,T
2022/02/08/16:24:12.088821,$GPGGA,42.34083666666667,-71.09763333333333,8.0,327205.4767492708,4689751.002324357,19,T
2022/02/08/16:24:13.081047,$GPGGA,42.34083833333334,-71.09763,8.0,327205.7559129658,4689751.180620918,19,T
2022/02/08/16:24:14.089556,$GPGGA,42.34084166666666,-71.09762500000001,8.0,327206.1769413027,4689751.540601195,19,T
2022/02/08/16:24:15.105145,$GPGGA,42.34084333333333,-71.09762166666665,8.0,327206.4561049623,4689751.718897785,19,T
2022/02/08/16:24:16.087893,$GPGGA,42.34084666666666,-71.09761833333333,8.0,327206.73983422806,4689752.082265212,19,T
2022/02/08/16:24:17.087841,$GPGGA,42.340848333333334,-71.09761499999999,8.0,327207.01899785164,4689752.260561824,19,T
2022/02/08/16:24:18.107525,$GPGGA,42.34085166666667,-71.09761166666667,8.1,327207.3027270673,4689752.623929274,19,T
2022/02/08/16:24:19.082336,$GPGGA,42.340855,-71.09760833333333,8.1,327207.58645625657,4689752.987296737,19,T
2022/02/08/16:24:20.082316,$GPGGA,42.34085833333334,-71.09760666666666,8.1,327207.73288644,4689753.354051302,19,T
2022/02/08/16:24:21.088977,$GPGGA,42.340860000000006,-71.09760333333334,8.2,327208.01204998395,4689753.532347951,19,T
2022/02/08/16:24:22.098181,$GPGGA,42.34086166666666,-71.0976,8.1,327208.29121351754,4689753.710644607,19,T
2022/02/08/16:24:23.097508,$GPGGA,42.340865,-71.097595,8.1,327208.7122415747,4689754.070625032,19,T
2022/02/08/16:24:24.085077,$GPGGA,42.34086666666667,-71.09759333333334,8.0,327208.8541061076,4689754.25230879,19,T
2022/02/08/16:24:25.097536,$GPGGA,42.34086833333334,-71.09759000000001,7.9,327209.1332695888,4689754.4306054795,19,T
2022/02/08/16:24:26.110325,$GPGGA,42.340869999999995,-71.09758666666667,7.9,327209.41243305337,4689754.608902181,19,T
2022/02/08/16:24:27.106193,$GPGGA,42.340873333333334,-71.09758333333333,7.8,327209.69616205874,4689754.972269723,19,T
2022/02/08/16:24:28.088552,$GPGGA,42.340875000000004,-71.09758000000001,7.8,327209.97532548744,4689755.1505664475,19,T
2022/02/08/16:24:29.084660,$GPGGA,42.34087666666666,-71.09757666666665,7.8,327210.2544889059,4689755.328863179,19,T
2022/02/08/16:24:30.102291,$GPGGA,42.34087833333333,-71.09757333333333,7.7,327210.5336523057,4689755.507159925,19,T
2022/02/08/16:24:31.083372,$GPGGA,42.34088,-71.09756999999999,7.7,327210.8128156952,4689755.685456679,19,T
2022/02/08/16:24:32.099565,$GPGGA,42.34088333333334,-71.09756666666667,7.7,327211.0965445817,4689756.048824279,19,T
2022/02/08/16:24:33.099594,$GPGGA,42.34088666666666,-71.09756333333333,7.7,327211.3802734417,4689756.412191885,19,T
2022/02/08/16:24:34.082919,$GPGGA,42.34088833333333,-71.09756,7.8,327211.65943677165,4689756.590488671,19,T
2022/02/08/16:24:35.089131,$GPGGA,42.34089000000001,-71.09755666666666,7.8,327211.9386000851,4689756.768785471,19,T
2022/02/08/16:24:36.088929,$GPGGA,42.340893333333334,-71.09755166666667,7.8,327212.3596277721,4689757.128766105,19,T
2022/02/08/16:24:37.082178,$GPGGA,42.34089666666667,-71.09754833333334,7.9,327212.6433565247,4689757.492133761,19,T
2022/02/08/16:24:38.088841,$GPGGA,42.34089833333334,-71.09754333333333,8.0,327213.0598186689,4689757.667043604,19,T
2022/02/08/16:24:39.082791,$GPGGA,42.34090166666667,-71.09754,8.1,327213.3435473619,4689758.030411284,19,T
2022/02/08/16:24:40.088184,$GPGGA,42.34090333333334,-71.09753500000001,8.1,327213.7600094533,4689758.205321169,19,T
2022/02/08/16:24:41.082443,$GPGGA,42.34090666666666,-71.09753166666665,8.2,327214.0437380932,4689758.568688876,19,T
2022/02/08/16:24:42.090422,$GPGGA,42.34090833333333,-71.09752666666667,8.3,327214.460200134,4689758.743598802,19,T
2022/02/08/16:24:43.089860,$GPGGA,42.34091166666667,-71.09752333333333,8.3,327214.74392871244,4689759.106966538,19,T
2022/02/08/16:24:44.082649,$GPGGA,42.340914999999995,-71.09751833333333,8.4,327215.16495611763,4689759.466947331,19,T
2022/02/08/16:24:45.082103,$GPGGA,42.340916666666665,-71.097515,8.5,327215.4441192278,4689759.645244265,19,T
2022/02/08/16:24:46.089804,$GPGGA,42.340920000000004,-71.09751,8.5,327215.8651465627,4689760.005225101,19,T
2022/02/08/16:24:47.090474,$GPGGA,42.34092333333333,-71.09750666666667,8.5,327216.1488750194,4689760.368592891,19,T
2022/02/08/16:24:48.089505,$GPGGA,42.340925,-71.09750166666666,8.5,327216.5653368997,4689760.543502934,19,T
2022/02/08/16:24:49.088911,$GPGGA,42.34092833333334,-71.09749833333333,8.5,327216.84906530124,4689760.9068707535,19,T
2022/02/08/16:24:50.100124,$GPGGA,42.34093166666666,-71.097495,8.4,327217.1327936721,4689761.27023858,19,T
2022/02/08/16:24:51.084389,$GPGGA,42.34093333333333,-71.09749000000001,8.4,327217.5492554708,4689761.44514868,19,T
2022/02/08/16:24:52.081996,$GPGGA,42.34093666666666,-71.09748666666665,8.3,327217.8329837885,4689761.808516536,19,T
2022/02/08/16:24:53.106207,$GPGGA,42.34094,-71.09748333333333,8.3,327218.11671207356,4689762.171884403,19,T
2022/02/08/16:24:54.089390,$GPGGA,42.34094333333334,-71.09747833333333,8.3,327218.5377391211,4689762.531865393,19,T
2022/02/08/16:24:55.103129,$GPGGA,42.34094666666667,-71.097475,8.3,327218.82146734395,4689762.895233284,19,T
2022/02/08/16:24:56.099099,$GPGGA,42.34095000000001,-71.09747,8.3,327219.2424943148,4689763.255214313,19,T
2022/02/08/16:24:57.087366,$GPGGA,42.34095333333333,-71.097465,8.3,327219.6635212404,4689763.615195365,19,T
2022/02/08/16:24:58.088288,$GPGGA,42.340955,-71.09746166666667,8.2,327219.9426840677,4689763.79349247,19,T
2022/02/08/16:24:59.088205,$GPGGA,42.34095833333334,-71.09745666666666,8.2,327220.3637109271,4689764.153473563,19,T
2022/02/08/16:25:00.085323,$GPGGA,42.340961666666665,-71.09745333333333,8.2,327220.6474389924,4689764.516841527,19,T
2022/02/08/16:25:01.081994,$GPGGA,42.340965000000004,-71.09744833333333,8.2,327221.06846577075,4689764.87682266,19,T
2022/02/08/16:25:02.090189,$GPGGA,42.34096833333333,-71.09744500000001,8.3,327221.35219376953,4689765.24019065,19,T
